66,Mikal Bridges,Pho,F,24.54,37,32.5,67.7,15.5,7.2,83,0.843,186,0.629,164,0.421,0.63,0.661,13.8,4.9,8.4,2.2,9.3,0.73,0.92,0.81,6.5,130.9,109.8
67,Malcolm Brogdon,Ind,G,28.26,36,35.6,74.2,26.3,10.2,105,0.886,423,0.487,230,0.391,0.522,0.554,21.5,4.7,7.5,6.2,27.2,1.17,0.22,2.19,9.6,111.6,110.4
68,Dillon Brooks,Mem,G-F,25.14,32,29.3,61,26.5,11.6,72,0.819,305,0.439,184,0.332,0.461,0.49,15.9,3,5.6,2.6,13.2,1.34,0.44,2.13,6.8,96,103.1
69,Troy Brown Jr.,Was,G-F,21.63,20,13.6,28.3,16.3,15,15,0.667,40,0.45,44,0.273,0.429,0.453,4.1,3,11.6,0.9,8.9,0.15,0.2,0.8,6.6,89.2,107.2
70,Bruce Brown,Bro,G-F,24.58,35,21,43.7,15.9,10.4,55,0.709,181,0.619,35,0.257,0.581,0.604,8.3,4.5,12.1,1.4,9.1,0.71,0.29,0.8,7.1,122.6,105.9
71,Jaylen Brown,Bos,G-F,24.39,35,33.8,70.4,30.1,11.9,174,0.764,442,0.538,211,0.384,0.551,0.584,24.3,5.5,9.1,3.9,19.4,1.17,0.46,2.83,9.5,112.6,107.6
72,Moses Brown,Okc,C,21.42,10,10.1,21.1,18.2,9.5,21,0.619,29,0.655,0,0,0.655,0.667,5.1,4,20.7,0.4,6.4,0.3,0.7,0.4,8,132.6,93.8
73,Sterling Brown,Hou,G-F,26.09,35,23.2,48.3,13.6,10.4,17,0.941,79,0.506,147,0.388,0.555,0.572,7.6,4.2,9.6,1.7,10.5,0.94,0.23,0.77,6.5,112.3,106.2
74,Jalen Brunson,Dal,G,24.54,33,25.1,52.3,19.9,11,90,0.822,184,0.609,108,0.398,0.604,0.644,12.9,3.5,7.6,3.4,20.6,0.55,0,1.24,8.5,124.5,111.1
75,Thomas Bryant,Was,C-F,23.62,10,27.1,56.4,17.2,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.8,1.5,8.6,0.4,0.8,1.1,7.5,130.7,106.4
76,Reggie Bullock,Nyk,G-F,30,34,26.4,55.1,14.5,7.8,26,0.846,97,0.464,165,0.37,0.521,0.539,8.7,3.3,6.7,1.3,6.9,0.59,0.21,0.68,5.1,107.9,105
77,Trey Burke,Dal,G,28.34,36,16,33.4,19.3,7.6,31,0.871,107,0.505,112,0.384,0.541,0.567,7.3,0.9,3.2,1.6,14.8,0.61,0.06,0.53,5.5,113.7,110.5
78,Alec Burks,Nyk,G,29.65,27,24.8,51.8,20.5,9.3,60,0.85,131,0.427,126,0.389,0.504,0.547,11.5,4.3,9.2,2.2,13.4,0.74,0.19,1.07,7.7,110.5,104.2
